date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-11-23 20:00:00+00:00,Fortuna Sittard,FC Twente '65,1,2,AWAY_TEAM
2024-11-23 20:00:00+00:00,PSV,FC Groningen,5,0,HOME_TEAM
2024-11-24 11:15:00+00:00,NEC,FC Utrecht,1,2,AWAY_TEAM
2024-11-24 13:30:00+00:00,Sparta Rotterdam,AZ,1,2,AWAY_TEAM
2024-11-24 13:30:00+00:00,Willem II Tilburg,NAC Breda,2,2,DRAW
2024-11-24 15:45:00+00:00,AFC Ajax,PEC Zwolle,2,0,HOME_TEAM
2024-11-29 19:00:00+00:00,SC Heerenveen,RKC Waalwijk,1,1,DRAW
2024-11-30 15:30:00+00:00,NAC Breda,Almere City FC,1,0,HOME_TEAM
2024-11-30 17:45:00+00:00,FC Groningen,Willem II Tilburg,2,0,HOME_TEAM
2024-11-30 19:00:00+00:00,Feyenoord Rotterdam,Fortuna Sittard,1,1,DRAW
2024-11-30 20:00:00+00:00,PEC Zwolle,Sparta Rotterdam,1,0,HOME_TEAM
2024-12-01 11:15:00+00:00,FC Utrecht,PSV,2,5,AWAY_TEAM
2024-12-01 13:30:00+00:00,AZ,Heracles Almelo,1,0,HOME_TEAM
2024-12-01 13:30:00+00:00,FC Twente '65,Go Ahead Eagles,3,2,HOME_TEAM
2024-12-01 15:45:00+00:00,NEC,AFC Ajax,1,2,AWAY_TEAM
2024-12-04 19:00:00+00:00,AFC Ajax,FC Utrecht,2,2,DRAW
2024-12-06 19:00:00+00:00,PSV,FC Twente '65,6,1,HOME_TEAM
2024-12-07 15:30:00+00:00,Go Ahead Eagles,NEC,5,0,HOME_TEAM
2024-12-07 17:45:00+00:00,Sparta Rotterdam,NAC Breda,0,2,AWAY_TEAM
2024-12-07 19:00:00+00:00,RKC Waalwijk,Feyenoord Rotterdam,2,3,AWAY_TEAM
2024-12-07 20:00:00+00:00,Heracles Almelo,Fortuna Sittard,2,2,DRAW
